2023-06-25T20:38:09.868 > <0000000b>SocketSelect - Forward Enquiry to <0000000d> (from <0000000c>)
2023-06-25T20:38:09.868 > <0000000b>SocketSelect - Forward Enquiry to <00000019> (from <00000018>)
2023-06-25T20:38:09.869 > <0000000b>SocketSelect - Forward Enquiry to <00000011> (from <00000010>)
2023-06-25T20:38:09.869 > <0000000b>SocketSelect - Forward Enquiry to <00000017> (from <00000016>)
2023-06-25T20:38:09.869 > <0000000b>SocketSelect - Forward Enquiry to <00000013> (from <00000012>)
2023-06-25T20:38:09.869 > <0000000b>SocketSelect - Forward Enquiry to <0000001b> (from <0000001a>)
2023-06-25T20:38:09.870 > <0000000b>SocketSelect - Forward Enquiry to <0000000f> (from <0000000e>)
2023-06-25T20:38:09.870 > <0000000b>SocketSelect - Forward Enquiry to <0000001d> (from <0000001c>)
2023-06-25T20:38:09.870 > <0000000b>SocketSelect - Forward Enquiry to <00000015> (from <00000014>)
2023-06-25T20:38:09.870 > <0000000b>SocketSelect - Forward Enquiry to <0000001f> (from <0000001e>)
2023-06-25T20:38:09.871 > <0000000b>SocketSelect - Forward Enquiry to <0000000d> (from <0000000c>)
2023-06-25T20:38:09.871 > <0000000b>SocketSelect - Forward Enquiry to <00000019> (from <00000018>)
2023-06-25T20:38:09.871 > <0000000b>SocketSelect - Forward Enquiry to <00000011> (from <00000010>)
2023-06-25T20:38:09.871 > <0000000b>SocketSelect - Forward Enquiry to <00000017> (from <00000016>)
2023-06-25T20:38:09.872 > <0000000b>SocketSelect - Forward Enquiry to <00000013> (from <00000012>)
2023-06-25T20:38:09.872 > <0000000b>SocketSelect - Forward Enquiry to <0000000f> (from <0000000e>)
